Codice ,Titolo ,Descrizione ,Genere,Taglia Descrizione ,Taglia Variante,Colore ,Composizione ,Condizioni ,Misure ,Prezzo ,Tipo Di Prodotto ,Fornitore ,Collezione ,Tag. ,Posizione
A9644,Rifle Jeans Blu,"Rifle jeans blu lavaggio scuro,modello regular fit ,etichetta brand pelle posteriore",M,30 - 42,42,Blu,100% Cotone,Buone,39-26-103,€ 14.00,Jeans Uomo,SecondChancy,Nuovi Arrivi/Uomo,Jeans Uomo/Abbigliamento Uomo/Inventario,C15
A9645,Cardigan Ricamato Bianco,Cardigan ricamato ad uncinetto traforato bianco tinta unita con chiusura frontale bottoni,F,L,L,Bianco,Lana,"Buone,etichetta interna assente.Necessita lavaggio",51-55-54-58,€ 13.00,Maglioni Donna,Vintage,Nuovi Arrivi/Donna,Inventario /Abbigliamento Donna/Maglioni Donna,C15
A9646,Adidas Bermuda Blu,"Adidas bermuda blu con dettagli bianchi , logo ricamato frontale , modello dry fit",M,M - 46,46,Blu,100% Poliestere,Buone,32-30-42,€ 10.00,Pantaloncini Sport Uomo,Adidas,Nuovi Arrivi/Uomo,Pantaloncini Sport Uomo/Sport Uomo/Abbigliamento Uomo/Inventario,C15
A9647,Liu Jo Maglia Nera,"Liu Jo maglia nera tinta unita con stampa frontale , girocollo",F,L,L,Nero,95% Cotone 5% Elastan,Buone,38-63-46-79,€ 8.00,T-Shirt Donna,Liu Jo,Nuovi Arrivi/Donna,T-Shirt Donna/Abbigliamento Donna/Inventario,C15
A9648,Adidas Pantaloncino Sportivo,"Adidas pantaloncino sportivo nero ,dettaglio logo stampato laterale , tasche frontali",F,38,38,Nero,100% Cotone,Buone,28-29-49,€ 10.00,Pantaloncini Sport Donna,Adidas,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Pantaloncino Sport Donna,C15
